record,speech,silence,noise,music
train_1,86,14.35,0,0
train_2,92,7.84,0,0
train_3,77,17.97,4.66,0
train_4,76,21.4,2.4,0
train_5,26,24.93,49.38,0
train_6,79,12.08,8.54,0
train_7,90,5.88,3.65,0
train_8,63,0,36.91,0
train_9,89,10.38,0.63,0
train_10,84,13.96,2.46,0
train_11,90,9.82,0,0
train_12,90,9.73,0,0
train_13,87,12.39,0.45,0
train_14,86,13.28,0.34,0
train_15,82,18.16,0,0
train_16,71,16.63,12.1,0
train_17,87,13.4,0,0
train_18,92,7.25,0.24,0
train_19,87,10.25,2.56,0
train_20,89,11.03,0,0
train_21,64,15.38,20.68,0
train_22,88,10.63,0.95,0
train_23,84,13.46,2.54,0
train_24,94,6.43,0,0
train_25,85,4.41,10.1,0
train_26,85,13.11,1.97,0
train_27,80,17.64,1.86,0
train_28,0,0,99.96,0
train_29,90,8.7,1.58,0
train_30,72,6.04,22.41,0
train_31,88,11.91,0,0
train_32,70,24.18,4.23,1.7
train_33,87,12.65,0,0
train_34,90,10,0,0
train_35,90,7.89,2.35,0
train_36,60,17.23,19.98,2.85
train_37,92,7.97,0.3,0
train_38,92,6.67,1.74,0
train_39,2,62.16,36.18,0
train_40,67,27.4,5.29,0
train_41,88,11.51,0.22,0
train_42,87,12.46,0.35,0
train_43,82,17.49,0.35,0
train_44,26,17.34,56.32,0
train_45,90,9.9,0,0
train_46,81,15.3,2.76,0.8
train_47,80,18.17,1.97,0
train_48,91,9.43,0,0
train_49,77,17.45,5.44,0
train_50,85,8.92,6.41,0
train_51,71,6.04,22.64,0
train_52,91,9.05,0.36,0
train_53,82,17.44,0.1,0
train_54,87,10.55,2.59,0
train_55,87,11.29,1.5,0
train_56,85,4.78,10.24,0
train_57,54,3.31,42.78,0
train_58,43,13.41,43.53,0
train_59,0,0,99.92,0
train_60,73,14.56,12.33,0
train_61,94,3.85,2.45,0
train_62,80,19.82,0,0
train_63,79,17.75,2.95,0
train_64,94,5.05,0.59,0
train_65,59,18.08,22.92,0
train_66,92,4.49,3.7,0
train_67,82,16.45,1.72,0
train_68,80,14.28,6.01,0
train_69,81,17.13,2.08,0
train_70,92,7.09,0.82,0
train_71,81,17.97,1.29,0
train_72,81,19.02,0,0
train_73,78,20.38,1.93,0
train_74,60,10.23,30,0
train_75,11,0,89.23,0
train_76,72,6.22,20.32,1.73
train_77,87,13.28,0,0
train_78,79,3.76,0.59,16.54
train_79,81,16.07,3.35,0
train_80,90,9.06,0.58,0
train_81,75,6.51,18.65,0
train_82,85,14.55,0,0
train_83,81,11.69,7.51,0
train_84,89,10.84,0.41,0
train_85,94,5.78,0.6,0
train_86,0,0,99.94,0
train_87,85,15,0.44,0
train_88,84,3.14,13.06,0
train_89,82,11.73,6.27,0
train_90,90,9.74,0.42,0
train_91,75,16.83,8.3,0
train_92,89,11.22,0,0
train_93,84,12.81,2.35,0.38
train_94,40,13.39,46.5,0
train_95,88,12.02,0,0
train_96,87,12.73,0,0
train_97,86,7.54,6.44,0
train_98,92,8.02,0,0
train_99,58,6.93,35.21,0
train_100,94,5.9,0.16,0
train_101,83,12.71,3.85,0
train_102,80,18.25,1.9,0
train_103,79,17.74,3.25,0
train_104,9,47.24,44.2,0
train_105,94,6.24,0,0
train_106,85,6.27,8.85,0
train_107,93,7.03,0,0
train_108,89,10,0.65,0
train_109,77,22.05,1.31,0
train_110,50,0,50.13,0
train_111,79,9.36,11.52,0
train_112,88,10.33,1.89,0
train_113,71,12.28,16.65,0
train_114,87,3.27,10.08,0
train_115,89,11.03,0,0
train_116,90,9.07,0.68,0
train_117,41,13.75,40.63,4.67
train_118,79,7.37,14.04,0
train_119,90,9.43,0,0
train_120,91,9.35,0,0
train_121,81,12.47,6.02,0
train_122,81,0.27,18.64,0
train_123,6,0,94.4,0
train_124,70,18.3,11.75,0
train_125,91,8.86,0,0
train_126,87,10.45,2.17,0
train_127,67,14.47,15.64,3.16
train_128,64,5.88,1.91,28.07
train_129,93,6.59,0,0
train_130,64,7.95,27.98,0
train_131,76,15.92,7.83,0
